Brand,Capacity(kg),Price,Rating(out of 5),Total rating,Total reviews,
LG,9,26990,4.3,61,6574,
LG,7,26990,4.3,,0,
IFB,6,26950,4.1,,9,
SAMSUNG,8,26800,4.2,,0,
Whirlpool,7.5,26690,4.3,815,462,
BOSCH,6,26490,,4349,52,
Whirlpool,9.5,26490,4.2,867,651,
BOSCH,6.5,26490,4.3,815,462,
Haier,8,26490,4.2,790,349,
SAMSUNG,10,26490,4.3,61,6574,
Panasonic,7.5,26490,4.2,,2,
SAMSUNG,10,26200,4.2,,17,
SAMSUNG,10,26110,4.3,694,2045,
SAMSUNG,8,26000,4.3,,4,
LG,8,25999,4.3,,2,
LG,8,25990,4.2,867,651,
BOSCH,6,25900,,4438,77,
LG,8,25789,4.4,,9,
MOTOROLA,6.5,25690,4.4,,11,
IFB,7,25610,4.2,,185,
SAMSUNG,9,25500,4.3,815,462,
LG,7,25490,,511,1,
Whirlpool,7.5,25490,4.4,,27,
LG,8,25290,,463,9,
SAMSUNG,8,25000,4.3,,0,
SAMSUNG,6,24990,4.2,790,349,
LG,6,24990,4.3,61,6574,
LG,6,24990,,54,0,
BOSCH,6,24900,4.4,84,1416,
IFB,6,24890,4.3,815,462,
SAMSUNG,9,24790,,4349,52,
SAMSUNG,9,24790,4.4,909,470,
SAMSUNG,9,24790,4.4,567,2777,
SAMSUNG,9,24790,,442,7,
SAMSUNG,9,24790,4.3,382,1237,
SAMSUNG,9,24790,4.3,61,6574,
SAMSUNG,9,24790,4.3,61,6574,
SAMSUNG,9,24790,3.8,,0,
SAMSUNG,9,24790,3.9,,42,
SAMSUNG,9,24790,4.1,,16,
SAMSUNG,9,24790,4.1,,3,
SAMSUNG,9,24790,4.2,,80,
SAMSUNG,9,24790,4.2,,2,
SAMSUNG,9,24790,4.4,,5,
SAMSUNG,9,24790,4.5,,45,
SAMSUNG,9,24790,4.5,,1,
SAMSUNG,9,24790,4.5,,12,
SAMSUNG,9,24790,4.5,,3,
Midea,7,24490,,41932,283,
Midea,7,24490,,4349,52,
